metric,value
raw_prediction_rows,1040
evaluation_rows,560
strategy_evaluation_rows,560
duplicate_predictions_dropped,480
label_evaluation_stride,1
strategy_return_step,1
execution_delay_days,1
max_position,0.65
max_daily_turnover,0.2
transaction_cost_bps,10.0
slippage_bps,10.0
block_limit_trades,True
require_positive_probability,True
require_positive_return,False
strategy_use_external_baselines,False
mae,0.01705014179741774
rmse,0.02593900203192392
mape,3.4573901120020367
r2,-0.02379490283044494
nrmse,1.0118275064606836
accuracy,0.5517857142857143
precision,0.0
recall,0.0
f1,0.0
mcc,0.0
directional_accuracy,0.5517857142857143
return_sign_directional_accuracy,0.5517857142857143
mean_direction_probability,0.5021593366350446
direction_probability_std,0.016598085580873303
direction_positive_label_ratio,0.0
direction_threshold_mean,0.0
quantile_coverage,0.8910714285714286
interval_width,0.07461380447353402
nll,-2.1398312230242245
cumulative_return,0.272598886105643
equity_curve_final,1.272598886105643
equity_curve_min,0.9614164415937311
equity_curve_max,1.2835449027513501
annualized_return,0.1145798630195507
sharpe_ratio,1.0633837402164652
max_drawdown,-0.07085081796382808
win_rate,0.15357142857142858
exposure_ratio,0.3517857142857143
avg_turnover,0.04184982764671728
ic,-0.07151188989228731
rank_ic,-0.07955243958641635
icir,-2.77883050612983
h1_mae,0.01708506738783968
h1_rmse,0.025976693596582546
h1_directional_accuracy,0.5464285714285714
